id,project_id,title,description,start_date,dateline,status,user_id
72f8e8ac-edcb-49c0-8d77-06161fb51280,3f9a9db2-10ec-49d3-8667-74a0f5b6f890,"Create FAQ and Contact Page","Provide user-friendly support resources.",2025-03-08,2025-03-18,"To Do",
c1a72a67-4999-4de4-9ce8-69d158a5cdbc,94b6d169-7df6-4d93-90a2-5560dd6fad24,"Write first 10 articles","Create engaging, SEO-friendly content.",2025-02-20,2025-03-15,"To Do",
2cf7c3f0-b2b6-4861-bef9-47b9f7a820df,94b6d169-7df6-4d93-90a2-5560dd6fad24,"Create cornerstone content","Develop pillar posts that drive traffic.",2025-03-05,2025-03-20,"To Do",
7add60fe-2939-414e-b679-18596f0cb505,94b6d169-7df6-4d93-90a2-5560dd6fad24,"Implement guest posting outreach","Collaborate with bloggers for backlinking.",2025-03-10,2025-03-25,"To Do",
cda7dd8e-b597-4557-879b-74f0f5e4ea12,5e5a8b83-4e6f-40af-a9b4-48f00c229317,"Create engaging posts","Design and schedule social media posts.",2025-02-18,2025-03-01,"To Do",
823a3d53-988f-4f95-8568-660b9ae3a860,5e5a8b83-4e6f-40af-a9b4-48f00c229317,"Schedule content using automation tools","Use Buffer or Later to schedule posts.",2025-02-20,2025-03-10,"To Do",
e4d35a8d-7d20-4f33-8df7-8c15dbc8cc56,5e5a8b83-4e6f-40af-a9b4-48f00c229317,"Run Instagram and TikTok campaigns","Develop strategies for viral growth.",2025-02-22,2025-03-15,"To Do",
68d779b0-1288-41ed-869b-f448597c3bf7,5e5a8b83-4e6f-40af-a9b4-48f00c229317,"Identify social media influencers","Find potential brand partners for collaborations.",2025-02-25,2025-03-15,"To Do",
420df652-8201-4f72-b7a5-acea9cdb09cd,5e5a8b83-4e6f-40af-a9b4-48f00c229317,"Develop video content strategy","Create reels, shorts, and carousels for engagement.",2025-03-01,2025-03-20,"To Do",
e5c227e8-b446-4621-b00b-b368598ddc1c,5e5a8b83-4e6f-40af-a9b4-48f00c229317,"Monitor engagement metrics","Track audience interaction and adjust strategies.",2025-03-10,2025-03-25,"To Do",
02ced94b-e34a-4b65-a7ff-932d3d688594,d1c29c6a-89ae-4d9e-bb78-10a7ea43dfbb,"Plan App Features","Define core features and user experience.",2025-03-01,2025-03-10,"To Do",
9be637ce-26ec-4bec-b37a-0309bfe0e933,d1c29c6a-89ae-4d9e-bb78-10a7ea43dfbb,"Design App Wireframes","Create UI/UX mockups.",2025-03-05,2025-03-15,"To Do",
a8ff383e-79ad-4d4f-b885-12272793d09b,d1c29c6a-89ae-4d9e-bb78-10a7ea43dfbb,"Develop Backend API","Set up the database and server logic.",2025-03-10,2025-03-30,"To Do",
b9a4ca38-46e9-4b62-8f72-b11e3e326584,d1c29c6a-89ae-4d9e-bb78-10a7ea43dfbb,"Develop Mobile Frontend","Build the UI for Android and iOS.",2025-03-15,2025-04-10,"To Do",
b75d071f-6402-4ec0-b630-5a3b030ddcb2,d1c29c6a-89ae-4d9e-bb78-10a7ea43dfbb,"Integrate Payment System","Set up subscriptions and in-app purchases.",2025-04-01,2025-04-15,"To Do",
6b44fc00-3298-4190-a7a7-666546c7461e,d1c29c6a-89ae-4d9e-bb78-10a7ea43dfbb,"Test and Debug App","Run user testing and fix bugs.",2025-04-10,2025-04-25,"To Do",
9d977811-2f7a-477f-a5c2-0bcd71cb2a30,d1c29c6a-89ae-4d9e-bb78-10a7ea43dfbb,"Launch Beta Version","Release the app to beta testers.",2025-04-20,2025-05-05,"To Do",
cf615164-e128-4fd9-96a5-925374b6dc55,d1c29c6a-89ae-4d9e-bb78-10a7ea43dfbb,"Market the App","Promote the app on social media.",2025-05-01,2025-05-15,"To Do",
28deae91-cba7-4a81-b008-f7f2c1f75663,d1c29c6a-89ae-4d9e-bb78-10a7ea43dfbb,"Monitor User Feedback","Gather and analyze feedback from early users.",2025-05-10,2025-05-30,"To Do",
fbe128dd-712d-42ae-b873-a9ca11ef9acf,d1c29c6a-89ae-4d9e-bb78-10a7ea43dfbb,"Plan Updates and New Features","Define a roadmap for future improvements.",2025-05-20,2025-06-10,"To Do",
