id,name,description
34e9c6ca-45f8-42bc-b2ee-7e80b0f735c7,"Brand Identity And Design","Establish a strong and recognizable visual identity for Shamanicca."
3f9a9db2-10ec-49d3-8667-74a0f5b6f890,"Blog And Ecom Development","Build an optimized, SEO-friendly platform to publish content and sell Shamanicca products."
94b6d169-7df6-4d93-90a2-5560dd6fad24,"Content Creation for Blog And SEO Strategy","Publish high-quality articles that attract organic traffic."
5e5a8b83-4e6f-40af-a9b4-48f00c229317,"Social Media Strategy And Growth","Increase brand awareness and engagement across platforms."
e5e9ac6b-8706-42f5-a455-8c36b3250d59,"Apparel And eCommerce Development","Design and market apparel that aligns with Shamanicca’s themes."
d1c29c6a-89ae-4d9e-bb78-10a7ea43dfbb,"Meditation App Development","Create a mobile app that provides guided meditations, subliminal audios, and mindfulness techniques."
0977d5ec-f8c8-4704-9a27-9ed94533639c,"Meditation And Spiritual Content Creation","Provide valuable guided meditations and spiritual insights."
79be806a-2dad-45a8-8a45-b1596149c3e5,"YouTube Channel Development","Grow Shamanicca’s presence through video content."
3034e776-b045-422c-af4e-2cb7c0555aba,"Digital Courses And Membership Site","Sell premium knowledge through structured courses."
6eca55c4-94c7-40f3-89cc-34d62fc90f52,"Community Building And Events","Create a loyal community of like-minded individuals."
571a82ad-be7c-4e66-98ff-9ef7258492fb,"Paid Advertising And Growth Hacking","Expand the reach of Shamanicca through targeted advertising."
fd79f34a-3541-4dd4-8da1-2dc658841466,"Influencer And Affiliate Marketing","Leverage partnerships to promote Shamanicca."
1a3435d0-4740-430c-9766-e81ff5343bae,"Email Marketing And Community Engagement","Build an engaged audience via direct email communication."
f16d07cf-58da-4048-ae1c-fe0281703da5,"Digital Product Creation (Guides, eBooks, PDFs)","Offer additional value through digital downloads."
6b90e7ef-a109-4245-9339-9e4e5849adf7,"Licensing And Legal Protection","Protect Shamanicca’s intellectual property."
